species	CD	FDR	HC	IBDU	UC	IBD	total
s__Acetatifactor_sp900066565	3	73	38	0	17	20	58
s__Acidaminococcus_intestini	18	25	14	2	11	29	43
s__Agathobacter_faecis	15	52	60	2	15	30	90
s__Agathobacter_rectalis	20	126	112	4	32	52	164
s__Akkermansia_muciniphila	23	133	192	3	22	45	237
s__Alistipes_A_ihumii	14	104	110	1	16	30	140
s__Alistipes_communis	16	146	132	2	22	38	170
s__Alistipes_dispar	9	30	35	2	4	13	48
s__Alistipes_finegoldii	32	119	81	1	20	52	133
s__Alistipes_onderdonkii	37	212	184	3	51	88	272
s__Alistipes_putredinis	40	255	274	6	50	90	364
s__Alistipes_shahii	14	161	96	2	15	29	125
s__Anaerostipes_hadrus	4	11	20	1	16	20	40
s__Bacteroides_caccae	24	123	74	3	20	44	118
s__Bacteroides_cellulosilyticus	14	102	79	2	16	30	109
s__Bacteroides_clarus	6	22	27	0	7	13	40
s__Bacteroides_eggerthii	10	57	52	1	6	16	68
s__Bacteroides_finegoldii	4	36	10	1	6	10	20
s__Bacteroides_fragilis	41	89	56	4	39	80	136
s__Bacteroides_intestinalis	3	21	20	1	10	13	33
s__Bacteroides_ovatus	32	121	47	1	26	58	105
s__Bacteroides_stercoris	15	102	65	0	19	34	99
s__Bacteroides_thetaiotaomicron	32	113	51	2	23	55	106
s__Bacteroides_uniformis	81	353	316	6	80	161	477
s__Bacteroides_xylanisolvens	16	49	18	1	13	29	47
s__Barnesiella_intestinihominis	39	223	213	4	53	92	305
s__Bifidobacterium_adolescentis	23	80	162	1	34	57	219
s__Bifidobacterium_bifidum	5	11	28	1	6	11	39
s__Bifidobacterium_longum	25	47	121	2	45	70	191
s__Bifidobacterium_pseudocatenulatum	6	10	16	0	9	15	31
s__Bilophila_wadsworthia	28	63	43	1	14	42	85
s__Blautia_A_wexlerae	13	17	13	0	17	30	43
s__CAG-103_sp000432375	10	63	56	2	20	30	86
s__CAG-170_sp000432135	4	56	30	0	9	13	43
s__CAG-170_sp002404795	2	35	24	0	8	10	34
s__CAG-177_sp003514385	3	74	69	3	18	21	90
s__CAG-217_sp000436335	3	47	80	1	13	16	96
s__CAG-245_sp000435175	6	41	37	1	11	17	54
s__CAG-41_sp900066215	6	16	11	1	15	21	32
s__Collinsella_sp900552385	7	13	30	0	13	20	50
s__Dialister_invisus	58	195	166	3	62	120	286
s__Dialister_sp_KINDRED_000164	6	15	31	0	5	11	42
s__Dysosmobacter_sp001916835	3	76	51	1	10	13	64
s__Dysosmobacter_welbionis	17	54	27	2	19	36	63
s__Eisenbergiella_sp900066775	19	144	68	1	34	53	121
s__ER4_sp000765235	9	154	133	3	23	32	165
s__ER4_sp900317525	5	89	61	1	16	21	82
s__Escherichia_coli	86	177	222	3	59	145	367
s__Eubacterium_F_sp003491505	5	63	49	2	18	23	72
s__Eubacterium_R_sp000434995	2	25	23	0	9	11	34
s__Faecalibacillus_intestinalis	4	5	25	1	8	12	37
s__Faecalibacterium_duncaniae	8	46	29	2	18	26	55
s__Faecalibacterium_longum	16	59	22	2	19	35	57
s__Faecalibacterium_prausnitzii	3	28	12	0	8	11	23
s__Faecalibacterium_prausnitzii_D	16	68	37	0	21	37	74
s__Fimenecus_sp000432435	12	94	111	0	23	35	146
s__Fusicatenibacter_saccharivorans	8	24	53	1	26	34	87
s__Gemmiger_formicilis	8	69	72	0	15	23	95
s__Gemmiger_qucibialis	35	200	180	1	50	85	265
s__Klebsiella_pneumoniae	9	11	11	0	5	14	25
s__Lachnospira_eligens_A	10	46	14	1	26	36	50
s__Lawsonibacter_asaccharolyticus	12	36	18	1	14	26	44
s__Odoribacter_splanchnicus	22	130	82	2	25	47	129
s__Parabacteroides_distasonis	67	308	161	3	58	125	286
s__Parabacteroides_johnsonii	5	17	18	0	6	11	29
s__Parabacteroides_merdae	34	200	115	2	30	64	179
s__Paraprevotella_clara	11	75	63	0	9	20	83
s__Parasutterella_excrementihominis	10	38	18	0	8	18	36
s__Parasutterella_gallistercoris	22	53	28	0	21	43	71
s__PeH17_sp000435055	2	48	13	2	9	11	24
s__Phascolarctobacterium_faecium	24	104	43	0	18	42	85
s__Phocaeicola_dorei	87	346	227	5	85	172	399
s__Phocaeicola_massiliensis	12	85	67	1	6	18	85
s__Prevotella_copri	6	57	74	0	13	19	93
s__Roseburia_hominis	6	27	24	1	15	21	45
s__Roseburia_intestinalis	7	13	13	0	10	17	30
s__Roseburia_inulinivorans	8	43	13	1	11	19	32
s__Ruminiclostridium_E_siraeum	9	74	52	2	13	22	74
s__Ruminococcus_D_bicirculans	10	70	87	1	35	45	132
s__Ruminococcus_E_bromii_B	26	134	144	3	27	53	197
s__Ruminococcus_E_sp003526955	5	52	62	1	19	24	86
s__Ruthenibacterium_lactatiformans	19	73	61	2	19	38	99
s__Streptococcus_thermophilus	2	2	12	0	8	10	22
s__Sutterella_wadsworthensis	14	35	28	1	6	20	48
s__Tidjanibacter_inops	9	87	117	1	25	34	151
s__UBA11524_sp000437595	7	115	111	2	21	28	139
s__Vescimonas_coprocola	8	84	24	1	13	21	45
s__Vescimonas_sp000435555	2	80	86	1	9	11	97
s__Vescimonas_sp000435975	7	31	14	0	10	17	31
s__Wujia_chipingensis	2	61	42	0	11	13	55
